Game #,Day,Date,Away Team,Home Team,Away Score,Home Score,OT?
420,53,11/11/26,Denver Mountain Lions,Las Vegas Vipers,,,
421,53,11/11/26,Jacksonville Blood Hounds,Philadelphia Destroyers,,,
422,53,11/11/26,Detroit Motors,South Dakota Spartans,,,
423,53,11/11/26,Chicago Rockets,Indianapolis Ghosts,,,
424,53,11/11/26,San Antonio Bandits,Kansas City Metrostars,,,
425,54,11/12/26,Detroit Motors,Chicago Rockets,,,
426,54,11/12/26,Honolulu Hawks,North Dakota Bison,,,
427,54,11/12/26,Florida Sunshine,Las Vegas Vipers,,,
428,54,11/12/26,Nevada Archers,Washington Admirals,,,
429,54,11/12/26,Seattle Dragons,Fort Worth Defenders,,,
430,54,11/12/26,Richmond Robbers,Indianapolis Ghosts,,,
431,54,11/12/26,Portland Sea Lions,St. Louis Leopards,,,
432,54,11/12/26,Kansas City Metrostars,Philadelphia Destroyers,,,
433,55,11/13/26,Detroit Motors,Columbus Cougars,,,
434,55,11/13/26,Seattle Dragons,Portland Sea Lions,,,
435,55,11/13/26,Chicago Rockets,New Orleans Whalers,,,
436,55,11/13/26,Atlanta Cobalts,Houston Hammerheads,,,
437,55,11/13/26,Richmond Robbers,Jacksonville Blood Hounds,,,
438,55,11/13/26,Indianapolis Ghosts,Long Island Blizzard,,,
439,55,11/13/26,Cleveland Demons,Lincoln Lumberjacks,,,
440,55,11/13/26,Denver Mountain Lions,North Dakota Bison,,,
441,56,11/14/26,North Dakota Bison,Las Vegas Vipers,,,
442,56,11/14/26,Nevada Archers,Portland Sea Lions,,,
443,56,11/14/26,Cleveland Demons,Indianapolis Ghosts,,,
444,56,11/14/26,Atlanta Cobalts,Chicago Rockets,,,
445,56,11/14/26,Baltimore Oceanics,Florida Sunshine,,,
446,56,11/14/26,Tennessee Wolverines,Oklahoma Twisters,,,
447,56,11/14/26,Philadelphia Destroyers,Long Island Blizzard,,,
448,56,11/14/26,San Antonio Bandits,Raleigh Wildcats,,,
449,57,11/15/26,New York Steamrollers,Baltimore Oceanics,,,
450,57,11/15/26,Richmond Robbers,Brooklyn Bulldogs,,,
451,57,11/15/26,Jacksonville Blood Hounds,Charleston Tsunami,,,
452,57,11/15/26,St. Louis Leopards,Iowa Rebels,,,
453,57,11/15/26,Tennessee Wolverines,Detroit Motors,,,
454,57,11/15/26,New Orleans Whalers,Memphis Cannons,,,
455,57,11/15/26,Kansas City Metrostars,Arizona Heat,,,
456,57,11/15/26,Florida Sunshine,North Dakota Bison,,,
457,58,11/16/26,New York Steamrollers,Raleigh Wildcats,,,
458,58,11/16/26,Philadelphia Destroyers,New Orleans Whalers,,,
459,58,11/16/26,San Antonio Bandits,Lincoln Lumberjacks,,,
460,58,11/16/26,Charleston Tsunami,Puerto Rico Toros,,,
461,58,11/16/26,Memphis Cannons,Montana Miners,,,
462,58,11/16/26,North Dakota Bison,St. Louis Leopards,,,
463,58,11/16/26,Nevada Archers,Portland Sea Lions,,,
464,58,11/16/26,Denver Mountain Lions,Cleveland Demons,,,
465,59,11/17/26,Lincoln Lumberjacks,Memphis Cannons,,,
466,59,11/17/26,Jacksonville Blood Hounds,Las Vegas Vipers,,,
467,59,11/17/26,Raleigh Wildcats,Charleston Tsunami,,,
468,59,11/17/26,Tennessee Wolverines,New Orleans Whalers,,,
469,59,11/17/26,Iowa Rebels,Kansas City Metrostars,,,
470,59,11/17/26,Washington Admirals,Puerto Rico Toros,,,
471,59,11/17/26,Honolulu Hawks,Chicago Rockets,,,
472,59,11/17/26,Montana Miners,Cincinnati Thunderbolts,,,
473,60,11/18/26,Montana Miners,Washington Admirals,,,
474,60,11/18/26,New Orleans Whalers,Oklahoma Twisters,,,
475,60,11/18/26,Houston Hammerheads,Iowa Rebels,,,
476,60,11/18/26,South Dakota Spartans,Arizona Heat,,,
477,60,11/18/26,Detroit Motors,Cincinnati Thunderbolts,,,
478,60,11/18/26,Baltimore Oceanics,Charleston Tsunami,,,
479,60,11/18/26,Brooklyn Bulldogs,Florida Sunshine,,,
480,60,11/18/26,Honolulu Hawks,Tennessee Wolverines,,,
481,61,11/19/26,Nevada Archers,Houston Hammerheads,,,
482,61,11/19/26,Portland Sea Lions,Seattle Dragons,,,
483,61,11/19/26,Charleston Tsunami,Baltimore Oceanics,,,
484,61,11/19/26,Columbus Cougars,Indianapolis Ghosts,,,
485,61,11/19/26,San Antonio Bandits,Philadelphia Destroyers,,,
486,61,11/19/26,Puerto Rico Toros,Chicago Rockets,,,
487,61,11/19/26,Oklahoma Twisters,Kansas City Metrostars,,,
488,61,11/19/26,Las Vegas Vipers,New Orleans Whalers,,,
489,62,11/20/26,Arizona Heat,Cincinnati Thunderbolts,,,
490,62,11/20/26,Denver Mountain Lions,New Orleans Whalers,,,
491,62,11/20/26,Las Vegas Vipers,Chicago Rockets,,,
492,62,11/20/26,Iowa Rebels,San Antonio Bandits,,,
493,62,11/20/26,Montana Miners,North Dakota Bison,,,
494,62,11/20/26,Brooklyn Bulldogs,Richmond Robbers,,,
495,62,11/20/26,Memphis Cannons,St. Louis Leopards,,,
496,62,11/20/26,Tennessee Wolverines,Houston Hammerheads,,,
497,63,11/21/26,Tennessee Wolverines,South Dakota Spartans,,,
498,63,11/21/26,Long Island Blizzard,Brooklyn Bulldogs,,,
499,63,11/21/26,Charleston Tsunami,Jacksonville Blood Hounds,,,
500,63,11/21/26,Chicago Rockets,Atlanta Cobalts,,,
501,63,11/21/26,Indianapolis Ghosts,Memphis Cannons,,,
502,63,11/21/26,Seattle Dragons,Houston Hammerheads,,,
503,63,11/21/26,Washington Admirals,San Antonio Bandits,,,
504,63,11/21/26,Lincoln Lumberjacks,Iowa Rebels,,,
505,64,11/22/26,Washington Admirals,Denver Mountain Lions,,,
506,64,11/22/26,New York Steamrollers,Long Island Blizzard,,,
507,64,11/22/26,Richmond Robbers,Charleston Tsunami,,,
508,64,11/22/26,Portland Sea Lions,Memphis Cannons,,,
509,64,11/22/26,Brooklyn Bulldogs,Atlanta Cobalts,,,
510,64,11/22/26,Columbus Cougars,Cincinnati Thunderbolts,,,
511,64,11/22/26,New Orleans Whalers,San Antonio Bandits,,,
512,64,11/22/26,Jacksonville Blood Hounds,Baltimore Oceanics,,,
513,65,11/23/26,Raleigh Wildcats,Richmond Robbers,,,
514,65,11/23/26,Houston Hammerheads,St. Louis Leopards,,,
515,65,11/23/26,Lincoln Lumberjacks,Fort Worth Defenders,,,
516,65,11/23/26,Seattle Dragons,Las Vegas Vipers,,,
517,65,11/23/26,Jacksonville Blood Hounds,North Dakota Bison,,,
518,65,11/23/26,Tennessee Wolverines,Columbus Cougars,,,
519,65,11/23/26,Puerto Rico Toros,Detroit Motors,,,
520,65,11/23/26,Memphis Cannons,Portland Sea Lions,,,
521,66,11/24/26,Puerto Rico Toros,Columbus Cougars,,,
522,66,11/24/26,Nevada Archers,Las Vegas Vipers,,,
523,66,11/24/26,Cincinnati Thunderbolts,Detroit Motors,,,
524,66,11/24/26,Kansas City Metrostars,Oklahoma Twisters,,,
525,66,11/24/26,New York Steamrollers,New Orleans Whalers,,,
526,66,11/24/26,Fort Worth Defenders,Honolulu Hawks,,,
527,66,11/24/26,Montana Miners,Indianapolis Ghosts,,,
528,66,11/24/26,Raleigh Wildcats,Arizona Heat,,,
529,67,11/25/26,New York Steamrollers,Puerto Rico Toros,,,
530,67,11/25/26,Cincinnati Thunderbolts,Columbus Cougars,,,
531,67,11/25/26,Long Island Blizzard,Raleigh Wildcats,,,
532,67,11/25/26,Nevada Archers,Detroit Motors,,,
533,67,11/25/26,Iowa Rebels,Portland Sea Lions,,,
534,67,11/25/26,Memphis Cannons,Denver Mountain Lions,,,
535,67,11/25/26,North Dakota Bison,Washington Admirals,,,
536,67,11/25/26,Jacksonville Blood Hounds,New Orleans Whalers,,,
537,68,11/26/26,Indianapolis Ghosts,Chicago Rockets,,,
538,68,11/26/26,Brooklyn Bulldogs,Jacksonville Blood Hounds,,,
539,68,11/26/26,Las Vegas Vipers,North Dakota Bison,,,
540,68,11/26/26,Baltimore Oceanics,Long Island Blizzard,,,
541,68,11/26/26,Fort Worth Defenders,New York Steamrollers,,,
542,68,11/26/26,Cincinnati Thunderbolts,Cleveland Demons,,,
543,68,11/26/26,Atlanta Cobalts,San Antonio Bandits,,,
544,68,11/26/26,Detroit Motors,Tennessee Wolverines,,,
545,69,11/27/26,Florida Sunshine,Chicago Rockets,,,
546,69,11/27/26,Arizona Heat,Washington Admirals,,,
547,69,11/27/26,Long Island Blizzard,Jacksonville Blood Hounds,,,
548,69,11/27/26,Denver Mountain Lions,Detroit Motors,,,
549,69,11/27/26,North Dakota Bison,Lincoln Lumberjacks,,,
550,69,11/27/26,Houston Hammerheads,Honolulu Hawks,,,
551,69,11/27/26,Montana Miners,Puerto Rico Toros,,,
552,69,11/27/26,New Orleans Whalers,Brooklyn Bulldogs,,,
553,70,11/28/26,Charleston Tsunami,Baltimore Oceanics,,,
554,70,11/28/26,Denver Mountain Lions,Portland Sea Lions,,,
555,70,11/28/26,Seattle Dragons,Honolulu Hawks,,,
556,70,11/28/26,Indianapolis Ghosts,Cincinnati Thunderbolts,,,
557,70,11/28/26,Washington Admirals,Nevada Archers,,,
558,70,11/28/26,Richmond Robbers,Long Island Blizzard,,,
559,70,11/28/26,Tennessee Wolverines,New Orleans Whalers,,,
560,70,11/28/26,Puerto Rico Toros,Houston Hammerheads,,,
561,71,11/29/26,Raleigh Wildcats,Nevada Archers,,,
562,71,11/29/26,St. Louis Leopards,Philadelphia Destroyers,,,
563,71,11/29/26,Seattle Dragons,Montana Miners,,,
564,71,11/29/26,Honolulu Hawks,Washington Admirals,,,
565,71,11/29/26,Long Island Blizzard,Arizona Heat,,,
566,71,11/29/26,Houston Hammerheads,South Dakota Spartans,,,
567,71,11/29/26,Tennessee Wolverines,San Antonio Bandits,,,
568,71,11/29/26,New Orleans Whalers,Columbus Cougars,,,
569,72,11/30/26,Washington Admirals,Atlanta Cobalts,,,
570,72,11/30/26,Tennessee Wolverines,New Orleans Whalers,,,
571,72,11/30/26,Detroit Motors,Iowa Rebels,,,
572,72,11/30/26,Oklahoma Twisters,Brooklyn Bulldogs,,,
573,72,11/30/26,Long Island Blizzard,Cleveland Demons,,,
574,72,11/30/26,Kansas City Metrostars,Fort Worth Defenders,,,
575,72,11/30/26,Philadelphia Destroyers,Jacksonville Blood Hounds,,,
576,72,11/30/26,Puerto Rico Toros,Indianapolis Ghosts,,,
577,73,12/1/26,St. Louis Leopards,Houston Hammerheads,,,
578,73,12/1/26,Denver Mountain Lions,Washington Admirals,,,
579,73,12/1/26,New Orleans Whalers,Cincinnati Thunderbolts,,,
580,73,12/1/26,Lincoln Lumberjacks,New York Steamrollers,,,
581,73,12/1/26,Nevada Archers,Fort Worth Defenders,,,
582,73,12/1/26,Charleston Tsunami,Jacksonville Blood Hounds,,,
583,73,12/1/26,San Antonio Bandits,Florida Sunshine,,,
584,73,12/1/26,Iowa Rebels,South Dakota Spartans,,,
585,74,12/2/26,Detroit Motors,Lincoln Lumberjacks,,,
586,74,12/2/26,Baltimore Oceanics,Chicago Rockets,,,
587,74,12/2/26,North Dakota Bison,Honolulu Hawks,,,
588,74,12/2/26,Florida Sunshine,Long Island Blizzard,,,
589,74,12/2/26,Charleston Tsunami,Raleigh Wildcats,,,
590,74,12/2/26,Houston Hammerheads,South Dakota Spartans,,,
591,74,12/2/26,Atlanta Cobalts,Oklahoma Twisters,,,
592,74,12/2/26,Columbus Cougars,Tennessee Wolverines,,,
593,75,12/3/26,Denver Mountain Lions,Atlanta Cobalts,,,
594,75,12/3/26,Raleigh Wildcats,Long Island Blizzard,,,
595,75,12/3/26,Las Vegas Vipers,North Dakota Bison,,,
596,75,12/3/26,St. Louis Leopards,Baltimore Oceanics,,,
597,75,12/3/26,Cleveland Demons,Tennessee Wolverines,,,
598,75,12/3/26,Houston Hammerheads,Oklahoma Twisters,,,
599,75,12/3/26,Iowa Rebels,Memphis Cannons,,,
600,75,12/3/26,Lincoln Lumberjacks,Kansas City Metrostars,,,
601,76,12/4/26,Houston Hammerheads,Portland Sea Lions,,,
602,76,12/4/26,Philadelphia Destroyers,Long Island Blizzard,,,
603,76,12/4/26,Nevada Archers,Seattle Dragons,,,
604,76,12/4/26,Arizona Heat,Tennessee Wolverines,,,
605,76,12/4/26,St. Louis Leopards,Oklahoma Twisters,,,
606,76,12/4/26,Washington Admirals,Detroit Motors,,,
607,76,12/4/26,Montana Miners,San Antonio Bandits,,,
608,76,12/4/26,Brooklyn Bulldogs,Denver Mountain Lions,,,
609,77,12/5/26,Iowa Rebels,Washington Admirals,,,
610,77,12/5/26,Atlanta Cobalts,Lincoln Lumberjacks,,,
611,77,12/5/26,Memphis Cannons,Seattle Dragons,,,
612,77,12/5/26,San Antonio Bandits,New York Steamrollers,,,
613,77,12/5/26,Tennessee Wolverines,Puerto Rico Toros,,,
614,77,12/5/26,Columbus Cougars,Charleston Tsunami,,,
615,77,12/5/26,Denver Mountain Lions,Arizona Heat,,,
616,77,12/5/26,Florida Sunshine,Philadelphia Destroyers,,,
617,78,12/6/26,Lincoln Lumberjacks,South Dakota Spartans,,,
618,78,12/6/26,Kansas City Metrostars,Iowa Rebels,,,
619,78,12/6/26,Baltimore Oceanics,Las Vegas Vipers,,,
620,78,12/6/26,Cincinnati Thunderbolts,New Orleans Whalers,,,
621,78,12/6/26,San Antonio Bandits,St. Louis Leopards,,,
622,78,12/6/26,Fort Worth Defenders,Houston Hammerheads,,,
623,78,12/6/26,Jacksonville Blood Hounds,Washington Admirals,,,
624,78,12/6/26,Columbus Cougars,Oklahoma Twisters,,,
625,79,12/7/26,St. Louis Leopards,Honolulu Hawks,,,
626,79,12/7/26,Indianapolis Ghosts,Atlanta Cobalts,,,
627,79,12/7/26,Brooklyn Bulldogs,Jacksonville Blood Hounds,,,
628,79,12/7/26,Oklahoma Twisters,North Dakota Bison,,,
629,79,12/7/26,San Antonio Bandits,South Dakota Spartans,,,
630,79,12/7/26,Washington Admirals,Las Vegas Vipers,,,
631,79,12/7/26,Memphis Cannons,Kansas City Metrostars,,,
632,79,12/7/26,Raleigh Wildcats,Tennessee Wolverines,,,
633,80,12/8/26,Richmond Robbers,Philadelphia Destroyers,,,
634,80,12/8/26,Las Vegas Vipers,Montana Miners,,,
635,80,12/8/26,Tennessee Wolverines,Memphis Cannons,,,
636,80,12/8/26,Chicago Rockets,Brooklyn Bulldogs,,,
637,80,12/8/26,Houston Hammerheads,Oklahoma Twisters,,,
638,80,12/8/26,Detroit Motors,Cleveland Demons,,,
639,80,12/8/26,Cincinnati Thunderbolts,Fort Worth Defenders,,,
640,80,12/8/26,North Dakota Bison,Honolulu Hawks,,,
641,81,12/9/26,Tennessee Wolverines,Puerto Rico Toros,,,
642,81,12/9/26,Florida Sunshine,Denver Mountain Lions,,,
643,81,12/9/26,Seattle Dragons,North Dakota Bison,,,
644,81,12/9/26,South Dakota Spartans,Brooklyn Bulldogs,,,
645,81,12/9/26,San Antonio Bandits,Houston Hammerheads,,,
646,81,12/9/26,Las Vegas Vipers,Atlanta Cobalts,,,
647,81,12/9/26,Philadelphia Destroyers,Charleston Tsunami,,,
648,81,12/9/26,Lincoln Lumberjacks,Memphis Cannons,,,
649,82,12/10/26,St. Louis Leopards,Portland Sea Lions,,,
650,82,12/10/26,Seattle Dragons,Washington Admirals,,,
651,82,12/10/26,Fort Worth Defenders,South Dakota Spartans,,,
652,82,12/10/26,Arizona Heat,Lincoln Lumberjacks,,,
653,82,12/10/26,Memphis Cannons,Houston Hammerheads,,,
654,82,12/10/26,Chicago Rockets,Puerto Rico Toros,,,
655,82,12/10/26,North Dakota Bison,San Antonio Bandits,,,
656,82,12/10/26,Kansas City Metrostars,Nevada Archers,,,
657,83,12/11/26,Kansas City Metrostars,Florida Sunshine,,,
658,83,12/11/26,Jacksonville Blood Hounds,Brooklyn Bulldogs,,,
659,83,12/11/26,Houston Hammerheads,Charleston Tsunami,,,
660,83,12/11/26,Denver Mountain Lions,Cincinnati Thunderbolts,,,
661,83,12/11/26,Cleveland Demons,South Dakota Spartans,,,
662,83,12/11/26,Columbus Cougars,St. Louis Leopards,,,
663,83,12/11/26,Portland Sea Lions,Atlanta Cobalts,,,
664,83,12/11/26,Puerto Rico Toros,Iowa Rebels,,,
665,84,12/12/26,Brooklyn Bulldogs,Indianapolis Ghosts,,,
666,84,12/12/26,Richmond Robbers,New Orleans Whalers,,,
667,84,12/12/26,Fort Worth Defenders,San Antonio Bandits,,,
668,84,12/12/26,Nevada Archers,St. Louis Leopards,,,
669,84,12/12/26,Columbus Cougars,Raleigh Wildcats,,,
670,84,12/12/26,Iowa Rebels,Seattle Dragons,,,
671,84,12/12/26,Kansas City Metrostars,Memphis Cannons,,,
672,84,12/12/26,Puerto Rico Toros,New York Steamrollers,,,
673,85,12/13/26,Oklahoma Twisters,Baltimore Oceanics,,,
674,85,12/13/26,Houston Hammerheads,San Antonio Bandits,,,
675,85,12/13/26,Chicago Rockets,Long Island Blizzard,,,
676,85,12/13/26,Memphis Cannons,Fort Worth Defenders,,,
677,85,12/13/26,Raleigh Wildcats,Indianapolis Ghosts,,,
678,85,12/13/26,Portland Sea Lions,New Orleans Whalers,,,
679,85,12/13/26,Philadelphia Destroyers,Charleston Tsunami,,,
680,85,12/13/26,Arizona Heat,South Dakota Spartans,,,
681,86,12/14/26,Houston Hammerheads,Long Island Blizzard,,,
682,86,12/14/26,North Dakota Bison,Atlanta Cobalts,,,
683,86,12/14/26,Philadelphia Destroyers,Jacksonville Blood Hounds,,,
684,86,12/14/26,St. Louis Leopards,New York Steamrollers,,,
685,86,12/14/26,Nevada Archers,San Antonio Bandits,,,
686,86,12/14/26,Chicago Rockets,Tennessee Wolverines,,,
687,86,12/14/26,Florida Sunshine,Baltimore Oceanics,,,
688,86,12/14/26,Washington Admirals,Seattle Dragons,,,
689,87,12/15/26,Kansas City Metrostars,Lincoln Lumberjacks,,,
690,87,12/15/26,Fort Worth Defenders,Richmond Robbers,,,
691,87,12/15/26,St. Louis Leopards,San Antonio Bandits,,,
692,87,12/15/26,Arizona Heat,Houston Hammerheads,,,
693,87,12/15/26,Cleveland Demons,Atlanta Cobalts,,,
694,87,12/15/26,Chicago Rockets,Columbus Cougars,,,
695,87,12/15/26,New York Steamrollers,Philadelphia Destroyers,,,
696,87,12/15/26,Raleigh Wildcats,Cincinnati Thunderbolts,,,
697,88,12/16/26,Kansas City Metrostars,North Dakota Bison,,,
698,88,12/16/26,Charleston Tsunami,Florida Sunshine,,,
699,88,12/16/26,Arizona Heat,Montana Miners,,,
700,88,12/16/26,Chicago Rockets,Puerto Rico Toros,,,
701,88,12/16/26,Las Vegas Vipers,Tennessee Wolverines,,,
702,88,12/16/26,Detroit Motors,New Orleans Whalers,,,
703,88,12/16/26,Portland Sea Lions,Cincinnati Thunderbolts,,,
704,88,12/16/26,Nevada Archers,Seattle Dragons,,,
705,89,12/17/26,Atlanta Cobalts,Cincinnati Thunderbolts,,,
706,89,12/17/26,Montana Miners,North Dakota Bison,,,
707,89,12/17/26,Columbus Cougars,Brooklyn Bulldogs,,,
708,89,12/17/26,Portland Sea Lions,Detroit Motors,,,
709,89,12/17/26,Las Vegas Vipers,Memphis Cannons,,,
710,89,12/17/26,Lincoln Lumberjacks,Long Island Blizzard,,,
711,89,12/17/26,Washington Admirals,Oklahoma Twisters,,,
712,89,12/17/26,Jacksonville Blood Hounds,Florida Sunshine,,,
713,90,12/18/26,Atlanta Cobalts,Cleveland Demons,,,
714,90,12/18/26,Philadelphia Destroyers,Brooklyn Bulldogs,,,
715,90,12/18/26,Raleigh Wildcats,Puerto Rico Toros,,,
716,90,12/18/26,Montana Miners,Portland Sea Lions,,,
717,90,12/18/26,Honolulu Hawks,Iowa Rebels,,,
718,90,12/18/26,Chicago Rockets,New Orleans Whalers,,,
719,90,12/18/26,Nevada Archers,Oklahoma Twisters,,,
720,90,12/18/26,Detroit Motors,Indianapolis Ghosts,,,
721,91,12/19/26,Portland Sea Lions,Seattle Dragons,,,
722,91,12/19/26,Lincoln Lumberjacks,Charleston Tsunami,,,
723,91,12/19/26,Arizona Heat,Fort Worth Defenders,,,
724,91,12/19/26,South Dakota Spartans,Richmond Robbers,,,
725,91,12/19/26,New Orleans Whalers,Puerto Rico Toros,,,
726,91,12/19/26,Washington Admirals,Nevada Archers,,,
727,91,12/19/26,Jacksonville Blood Hounds,Philadelphia Destroyers,,,
728,91,12/19/26,Indianapolis Ghosts,Raleigh Wildcats,,,
729,92,12/20/26,Arizona Heat,Denver Mountain Lions,,,
730,92,12/20/26,Seattle Dragons,Montana Miners,,,
731,92,12/20/26,Long Island Blizzard,Richmond Robbers,,,
732,92,12/20/26,Atlanta Cobalts,Kansas City Metrostars,,,
733,92,12/20/26,Cleveland Demons,Oklahoma Twisters,,,
734,92,12/20/26,Detroit Motors,San Antonio Bandits,,,
735,92,12/20/26,Nevada Archers,Indianapolis Ghosts,,,
736,92,12/20/26,Portland Sea Lions,Fort Worth Defenders,,,
737,93,12/21/26,Las Vegas Vipers,Arizona Heat,,,
738,93,12/21/26,Portland Sea Lions,Kansas City Metrostars,,,
739,93,12/21/26,Charleston Tsunami,Brooklyn Bulldogs,,,
740,93,12/21/26,New York Steamrollers,Cincinnati Thunderbolts,,,
741,93,12/21/26,Cleveland Demons,Detroit Motors,,,
742,93,12/21/26,Oklahoma Twisters,San Antonio Bandits,,,
743,93,12/21/26,Florida Sunshine,New Orleans Whalers,,,
744,93,12/21/26,Memphis Cannons,South Dakota Spartans,,,
745,94,12/22/26,Columbus Cougars,Detroit Motors,,,
746,94,12/22/26,Cincinnati Thunderbolts,Iowa Rebels,,,
747,94,12/22/26,Fort Worth Defenders,Washington Admirals,,,
748,94,12/22/26,Cleveland Demons,Philadelphia Destroyers,,,
749,94,12/22/26,Montana Miners,New Orleans Whalers,,,
750,94,12/22/26,Denver Mountain Lions,South Dakota Spartans,,,
751,94,12/22/26,Honolulu Hawks,Arizona Heat,,,
752,94,12/22/26,Portland Sea Lions,Houston Hammerheads,,,
753,95,12/23/26,Portland Sea Lions,Iowa Rebels,,,
754,95,12/23/26,Oklahoma Twisters,Washington Admirals,,,
755,95,12/23/26,Long Island Blizzard,New York Steamrollers,,,
756,95,12/23/26,Cincinnati Thunderbolts,Kansas City Metrostars,,,
757,95,12/23/26,Las Vegas Vipers,Detroit Motors,,,
758,95,12/23/26,Tennessee Wolverines,Atlanta Cobalts,,,
759,95,12/23/26,Puerto Rico Toros,Philadelphia Destroyers,,,
760,95,12/23/26,Brooklyn Bulldogs,Richmond Robbers,,,
761,96,12/24/26,St. Louis Leopards,Jacksonville Blood Hounds,,,
762,96,12/24/26,Richmond Robbers,Florida Sunshine,,,
763,96,12/24/26,Kansas City Metrostars,Seattle Dragons,,,
764,96,12/24/26,Oklahoma Twisters,Iowa Rebels,,,
765,96,12/24/26,Denver Mountain Lions,Arizona Heat,,,
766,96,12/24/26,Las Vegas Vipers,Cleveland Demons,,,
767,96,12/24/26,Detroit Motors,Long Island Blizzard,,,
768,96,12/24/26,Houston Hammerheads,North Dakota Bison,,,
769,97,12/25/26,Oklahoma Twisters,Philadelphia Destroyers,,,
770,97,12/25/26,North Dakota Bison,New Orleans Whalers,,,
771,97,12/25/26,Houston Hammerheads,Jacksonville Blood Hounds,,,
772,97,12/25/26,Nevada Archers,South Dakota Spartans,,,
773,97,12/25/26,Charleston Tsunami,Honolulu Hawks,,,
774,97,12/25/26,Fort Worth Defenders,Long Island Blizzard,,,
775,97,12/25/26,Lincoln Lumberjacks,Kansas City Metrostars,,,
776,97,12/25/26,St. Louis Leopards,Las Vegas Vipers,,,
777,98,12/26/26,Honolulu Hawks,New Orleans Whalers,,,
778,98,12/26/26,St. Louis Leopards,Washington Admirals,,,
779,98,12/26/26,Richmond Robbers,New York Steamrollers,,,
780,98,12/26/26,Cincinnati Thunderbolts,Houston Hammerheads,,,
781,98,12/26/26,Detroit Motors,Florida Sunshine,,,
782,98,12/26/26,Indianapolis Ghosts,Fort Worth Defenders,,,
783,98,12/26/26,Long Island Blizzard,Charleston Tsunami,,,
784,98,12/26/26,Kansas City Metrostars,Portland Sea Lions,,,
785,99,12/27/26,Long Island Blizzard,Florida Sunshine,,,
786,99,12/27/26,Arizona Heat,Seattle Dragons,,,
787,99,12/27/26,Atlanta Cobalts,Tennessee Wolverines,,,
788,99,12/27/26,Indianapolis Ghosts,Charleston Tsunami,,,
789,99,12/27/26,Kansas City Metrostars,Washington Admirals,,,
790,99,12/27/26,Jacksonville Blood Hounds,Richmond Robbers,,,
791,99,12/27/26,Houston Hammerheads,Raleigh Wildcats,,,
792,99,12/27/26,Lincoln Lumberjacks,Oklahoma Twisters,,,
793,100,12/28/26,Richmond Robbers,Baltimore Oceanics,,,
794,100,12/28/26,Atlanta Cobalts,Indianapolis Ghosts,,,
795,100,12/28/26,Detroit Motors,Oklahoma Twisters,,,
796,100,12/28/26,Philadelphia Destroyers,Denver Mountain Lions,,,
797,100,12/28/26,Memphis Cannons,Raleigh Wildcats,,,
798,100,12/28/26,Fort Worth Defenders,Arizona Heat,,,
799,100,12/28/26,Puerto Rico Toros,Cincinnati Thunderbolts,,,
800,100,12/28/26,St. Louis Leopards,Lincoln Lumberjacks,,,
801,101,12/29/26,Cleveland Demons,Long Island Blizzard,,,
802,101,12/29/26,St. Louis Leopards,Arizona Heat,,,
803,101,12/29/26,Baltimore Oceanics,North Dakota Bison,,,
804,101,12/29/26,Florida Sunshine,Seattle Dragons,,,
805,101,12/29/26,Indianapolis Ghosts,Puerto Rico Toros,,,
806,101,12/29/26,Jacksonville Blood Hounds,Atlanta Cobalts,,,
807,101,12/29/26,Portland Sea Lions,Washington Admirals,,,
808,101,12/29/26,Columbus Cougars,Iowa Rebels,,,
809,102,12/30/26,Philadelphia Destroyers,Florida Sunshine,,,
810,102,12/30/26,Honolulu Hawks,Montana Miners,,,
811,102,12/30/26,Las Vegas Vipers,San Antonio Bandits,,,
812,102,12/30/26,New Orleans Whalers,Cincinnati Thunderbolts,,,
813,102,12/30/26,Nevada Archers,Tennessee Wolverines,,,
814,102,12/30/26,Denver Mountain Lions,Seattle Dragons,,,
815,102,12/30/26,Jacksonville Blood Hounds,Cleveland Demons,,,
816,102,12/30/26,Memphis Cannons,North Dakota Bison,,,
817,103,12/31/26,Arizona Heat,New Orleans Whalers,,,
818,103,12/31/26,Las Vegas Vipers,Houston Hammerheads,,,
819,103,12/31/26,Montana Miners,Lincoln Lumberjacks,,,
820,103,12/31/26,New York Steamrollers,Florida Sunshine,,,
821,103,12/31/26,Memphis Cannons,Oklahoma Twisters,,,
822,103,12/31/26,Atlanta Cobalts,Chicago Rockets,,,
823,103,12/31/26,South Dakota Spartans,Fort Worth Defenders,,,
824,103,12/31/26,Nevada Archers,Denver Mountain Lions,,,
825,104,1/1/27,Kansas City Metrostars,Lincoln Lumberjacks,,,
826,104,1/1/27,Fort Worth Defenders,South Dakota Spartans,,,
827,104,1/1/27,New Orleans Whalers,Atlanta Cobalts,,,
828,104,1/1/27,Arizona Heat,San Antonio Bandits,,,
829,104,1/1/27,Richmond Robbers,North Dakota Bison,,,
830,104,1/1/27,Las Vegas Vipers,Montana Miners,,,
831,104,1/1/27,St. Louis Leopards,Denver Mountain Lions,,,
832,104,1/1/27,Cleveland Demons,Brooklyn Bulldogs,,,
833,105,1/2/27,Las Vegas Vipers,St. Louis Leopards,,,
834,105,1/2/27,Long Island Blizzard,Brooklyn Bulldogs,,,
835,105,1/2/27,Indianapolis Ghosts,Richmond Robbers,,,
836,105,1/2/27,Oklahoma Twisters,Charleston Tsunami,,,
837,105,1/2/27,Cleveland Demons,San Antonio Bandits,,,
